id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/1/value,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/6/value,qualifiers/7/type/value,qualifiers/7/type/displayName,satisfiedEventsTypes/7,satisfiedEventsTypes/8,qualifiers/7/value,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/8/value,satisfiedEventsTypes/9,relatedEventId,relatedPlayerId,satisfiedEventsTypes/10,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/11/type/value,qualifiers/11/type/displayName,qualifiers/11/value,qualifiers/12/type/value,qualifiers/12/type/displayName,qualifiers/13/type/value,qualifiers/13/type/displayName,qualifiers/13/value,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,satisfiedEventsTypes/11,qualifiers/9/value,qualifiers/10/value,satisfiedEventsTypes/12,qualifiers/14/type/value,qualifiers/14/type/displayName,qualifiers/14/value,qualifiers/12/value,isOwnGoal,isGoal,cardType/value,cardType/displayName,satisfiedEventsTypes/13,qualifiers/15/type/value,qualifiers/15/type/displayName,qualifiers/15/value,qualifiers/16/type/value,qualifiers/16/type/displayName,qualifiers/16/value,qualifiers/17/type/value,qualifiers/17/type/displayName,satisfiedEventsTypes/14,satisfiedEventsTypes/15
2224306539,2,0,0,26,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224306545,2,0,0,130,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224306557,3,0,0,26,50,50,0,1,FirstHalf,1,Pass,1,Successful,true,355354,140,PassEndX,33.7,178,StandingSave,141,PassEndY,39.5,56,Zone,Back,213,Angle,3.5,212,Length,18.5,90,116,29,34,37,215,217,33.7,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224306595,4,0,2,26,33.7,39.2,0,1,FirstHalf,1,Pass,1,Successful,true,115916,155,Chipped,,140,PassEndX,213,Angle,0.9,1,Longball,,56,Zone,Left,212,Length,41.5,90,118,116,123,126,35,36,58.4,86.8,58.4,141,PassEndY,86.8,178,StandingSave,215,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224306623,5,0,7,26,59.9,89.9,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,96182,213,Angle,0.2,56,Zone,141,PassEndY,96.3,3,HeadPass,,140,PassEndX,76.2,212,Length,17.7,90,119,28,138,35,36,216,76.2,96.3,Left,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224306619,3,0,9,130,20.4,5.5,0,1,FirstHalf,49,BallRecovery,1,Successful,false,362732,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224306651,4,0,10,130,20.4,5.5,0,1,FirstHalf,1,Pass,1,Successful,true,362732,178,StandingSave,,141,PassEndY,213,Angle,6.2,140,PassEndX,30.4,212,Length,10.5,56,Zone,Back,90,116,29,35,37,214,217,30.4,4.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224306667,5,0,11,130,30.4,4.1,0,1,FirstHalf,1,Pass,1,Successful,true,326505,212,Length,4.5,141,PassEndY,56,Zone,Back,213,Angle,2.7,140,PassEndX,26.6,,,,90,116,29,34,36,214,217,26.6,7,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224306681,6,0,12,130,26.1,6.9,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,70033,213,Angle,0.2,178,StandingSave,212,Length,23.7,140,PassEndX,48.1,141,PassEndY,14.7,56,Zone,Back,90,117,119,28,35,36,215,48.1,14.7,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224306657,6,0,13,26,50.8,87.4,0,1,FirstHalf,49,BallRecovery,1,Successful,false,136451,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
