id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/1/value,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/4/value,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/6/value,qualifiers/7/type/value,qualifiers/7/type/displayName,satisfiedEventsTypes/7,qualifiers/7/value,satisfiedEventsTypes/8,satisfiedEventsTypes/9,goalMouthZ,goalMouthY,isShot,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/8/value,satisfiedEventsTypes/10,satisfiedEventsTypes/11,satisfiedEventsTypes/12,relatedEventId,relatedPlayerId,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/10/value,qualifiers/11/type/value,qualifiers/11/type/displayName,qualifiers/11/value,qualifiers/12/type/value,qualifiers/12/type/displayName,blockedX,blockedY,qualifiers/9/value,cardType/value,cardType/displayName,qualifiers/13/type/value,qualifiers/13/type/displayName,qualifiers/14/type/value,qualifiers/14/type/displayName,satisfiedEventsTypes/13,satisfiedEventsTypes/14,satisfiedEventsTypes/15,isGoal,qualifiers/12/value,qualifiers/13/value,satisfiedEventsTypes/16
2236926957,2,0,0,26,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2236926947,2,0,0,300,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2236926989,3,0,0,300,50,50,0,1,FirstHalf,1,Pass,1,Successful,true,22546,140,PassEndX,39.0,141,PassEndY,52.5,56,Zone,Back,212,Length,11.7,178,StandingSave,213,Angle,3.0,90,116,29,34,36,215,217,39,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2236926999,4,0,1,300,38.8,52.5,0,1,FirstHalf,1,Pass,1,Successful,true,362600,178,StandingSave,,213,Angle,2.3,212,Length,6.3,141,PassEndY,59.3,56,Zone,140,PassEndX,34.7,90,116,29,34,36,215,217,34.7,59.3,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2236927045,5,0,3,300,34.7,59.3,0,1,FirstHalf,1,Pass,1,Successful,true,302691,178,StandingSave,,212,Length,11.3,140,PassEndX,33.4,141,PassEndY,42.8,213,Angle,56,Zone,Back,90,116,29,34,37,215,217,33.4,42.8,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2236927075,6,0,8,300,35.1,37.1,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,85070,140,PassEndX,73.8,56,Zone,Right,141,PassEndY,11.7,213,Angle,5.9,1,Longball,178,StandingSave,,90,119,123,127,35,37,216,73.8,11.7,,212,Length,44.2,155,Chipped,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2236927081,3,0,12,26,23,92.9,0,1,FirstHalf,49,BallRecovery,1,Successful,false,301455,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2236927111,4,0,14,26,23.5,93,0,1,FirstHalf,1,Pass,1,Successful,true,301455,178,StandingSave,,140,PassEndX,30.0,212,Length,7.1,141,PassEndY,95.7,213,Angle,56,Zone,Back,90,116,29,35,36,214,217,30,95.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2236927123,5,0,14,26,32.9,97.8,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,4511,212,Length,19.7,140,PassEndX,51.2,155,Chipped,,141,PassEndY,91.1,213,Angle,56,Zone,Left,90,119,28,123,35,37,215,51.2,91.1,6.1,178,StandingSave,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2236927127,7,0,15,300,46.5,16.4,0,1,FirstHalf,61,BallTouch,0,Unsuccessful,true,85070,178,StandingSave,,56,Zone,Back,,,,,,,,,,,,90,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
