id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/1/value,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,satisfiedEventsTypes/7,satisfiedEventsTypes/8,satisfiedEventsTypes/9,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/6/value,qualifiers/7/type/value,qualifiers/7/type/displayName,qualifiers/7/value,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/10/value,qualifiers/11/type/value,qualifiers/11/type/displayName,satisfiedEventsTypes/10,satisfiedEventsTypes/11,satisfiedEventsTypes/12,satisfiedEventsTypes/13,satisfiedEventsTypes/14,relatedEventId,relatedPlayerId,qualifiers/9/value,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,qualifiers/11/value,qualifiers/12/type/value,qualifiers/12/type/displayName,satisfiedEventsTypes/15,qualifiers/8/value,isGoal,satisfiedEventsTypes/16,cardType/value,cardType/displayName
1449472847,2,0,0,26,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929182088,2,0,0,167,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459069839,3,0,0,26,49.8,48.8,0,1,FirstHalf,1,Pass,1,Successful,true,4511,213,Angle,3.3,141,PassEndY,42.1,56,Zone,Back,212,Length,24.2,140,PassEndX,27.2,90,116,29,34,37,214,217,27.2,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674198926,4,0,3,26,30.1,42.1,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,29106,213,Angle,0.4,1,Longball,,140,PassEndX,82.1,212,Length,59.4,141,PassEndY,76.4,90,119,127,35,36,216,217,82.1,76.4,56,Zone,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213865008,3,0,7,167,19.8,24.3,0,1,FirstHalf,12,Clearance,1,Successful,true,19119,212,Length,4.0,15,Head,,213,Angle,5.8,141,PassEndY,21.3,56,Zone,Back,90,93,94,56,214,,,23.1,21.3,140,PassEndX,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205681438,4,0,9,167,23.1,20.2,0,1,FirstHalf,44,Aerial,0,Unsuccessful,false,77464,233,OppositeRelatedEvent,5,285,Defensive,,56,Zone,Back,,,,,,,197,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197259779,6,0,9,26,75.8,80.9,0,1,FirstHalf,1,Pass,1,Successful,true,4511,141,PassEndY,89.3,56,Zone,Left,212,Length,5.7,3,HeadPass,,213,Angle,1.6,90,118,116,29,138,204,34,75.4,89.3,140,PassEndX,75.4,36,216,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504635881,5,0,9,26,76.9,79.8,0,1,FirstHalf,44,Aerial,1,Successful,false,4511,286,Offensive,,56,Zone,Left,233,OppositeRelatedEvent,4,,,,,,,196,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356277987,7,0,10,26,77,87.5,0,1,FirstHalf,1,Pass,1,Successful,true,109915,140,PassEndX,67.6,213,Angle,2.7,56,Zone,Left,141,PassEndY,93.5,212,Length,10.7,90,118,116,29,204,34,36,67.6,93.5,,,,216,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964978271,8,0,13,26,73.7,85.3,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,115726,212,Length,9.6,56,Zone,Center,140,PassEndX,79.3,141,PassEndY,74.1,213,Angle,5.4,90,119,28,35,37,216,217,79.3,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092981909,5,0,14,167,20.8,25.2,0,1,FirstHalf,8,Interception,1,Successful,true,75691,56,Zone,Back,,,,,,,,,,,,,90,100,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683260442,6,0,15,167,21.7,21.6,0,1,FirstHalf,12,Clearance,1,Successful,true,69778,56,Zone,Left,141,PassEndY,100.0,140,PassEndX,55.7,213,Angle,1.0,212,Length,64.7,90,93,94,215,,,,55.7,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402629498,10,0,32,26,44.7,0,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,318871,56,Zone,Right,140,PassEndX,56.1,141,PassEndY,10.6,213,Angle,0.6,212,Length,14.7,90,211,35,36,215,,,56.1,10.6,107,ThrowIn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917664757,8,0,33,167,44.2,91.8,0,1,FirstHalf,1,Pass,1,Successful,true,122117,3,HeadPass,,56,Zone,Back,213,Angle,5.0,141,PassEndY,83.9,212,Length,5.7,90,116,29,138,35,37,215,45.9,83.9,140,PassEndX,45.9,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980404672,9,0,35,167,46.1,83.9,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,73084,140,PassEndX,47.8,213,Angle,6.1,56,Zone,Back,141,PassEndY,83.3,212,Length,1.8,90,117,119,28,35,37,215,47.8,83.3,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2055869353,11,0,36,26,52.6,18.6,0,1,FirstHalf,61,BallTouch,1,Successful,true,68659,56,Zone,Right,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461858432,13,0,39,26,46.9,10.3,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,318871,155,Chipped,,1,Longball,,213,Angle,6.1,56,Zone,Right,212,Length,49.9,90,119,123,127,35,37,216,93.8,0,141,PassEndY,0.0,217,,,140,PassEndX,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
