id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/1/value,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/6/value,satisfiedEventsTypes/7,satisfiedEventsTypes/8,satisfiedEventsTypes/9,satisfiedEventsTypes/10,satisfiedEventsTypes/11,relatedEventId,relatedPlayerId,qualifiers/7/type/value,qualifiers/7/type/displayName,qualifiers/7/value,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/8/value,qualifiers/9/type/value,qualifiers/9/type/displayName,blockedX,blockedY,isShot,satisfiedEventsTypes/12,satisfiedEventsTypes/13,satisfiedEventsTypes/14,qualifiers/9/value,qualifiers/10/type/value,qualifiers/10/type/displayName,goalMouthZ,goalMouthY,isGoal,qualifiers/10/value,qualifiers/11/type/value,qualifiers/11/type/displayName,cardType/value,cardType/displayName,qualifiers/11/value,qualifiers/12/type/value,qualifiers/12/type/displayName,qualifiers/12/value,qualifiers/13/type/value,qualifiers/13/type/displayName,satisfiedEventsTypes/15,satisfiedEventsTypes/16,satisfiedEventsTypes/17,satisfiedEventsTypes/18,satisfiedEventsTypes/19,qualifiers/13/value
2163203481,2,0,0,140,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163203485,2,0,0,26,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163203505,3,0,1,140,49.8,50,0,1,FirstHalf,1,Pass,1,Successful,true,327684,140,PassEndX,34.3,213,Angle,3.1,212,Length,16.3,141,PassEndY,51.9,56,Zone,Back,90,116,29,34,36,215,217,34.3,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163203535,4,0,2,140,33.4,50.4,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,321020,155,Chipped,,212,Length,42.3,56,Zone,Right,140,PassEndX,60.7,1,Longball,,90,119,123,127,35,37,215,60.7,4.7,213,Angle,5.5,141,PassEndY,4.7,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163203539,5,0,5,140,62.4,6.9,0,1,FirstHalf,44,Aerial,0,Unsuccessful,false,363652,56,Zone,Right,233,OppositeRelatedEvent,3,286,Offensive,,,,,,,,197,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163203537,3,0,5,26,37.6,93.1,0,1,FirstHalf,44,Aerial,1,Successful,false,4511,56,Zone,Back,285,Defensive,,233,OppositeRelatedEvent,5,,,,,,,196,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163203551,4,0,6,26,36,90.9,0,1,FirstHalf,1,Pass,1,Successful,true,4511,141,PassEndY,89.1,213,Angle,6.1,56,Zone,Back,3,HeadPass,,140,PassEndX,43.6,90,116,29,138,35,37,215,43.6,89.1,212,Length,8.1,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163203569,5,0,7,26,43.7,89,0,1,FirstHalf,1,Pass,1,Successful,true,124688,212,Length,13.2,141,PassEndY,83.5,213,Angle,6.0,140,PassEndX,55.8,56,Zone,Left,90,118,116,29,35,37,215,55.8,83.5,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163203575,6,0,8,26,56.9,83.5,0,1,FirstHalf,49,BallRecovery,1,Successful,false,84146,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163203637,7,0,9,26,57,83.5,0,1,FirstHalf,1,Pass,1,Successful,true,84146,140,PassEndX,59.8,56,Zone,Left,213,Angle,1.2,212,Length,8.8,141,PassEndY,95.7,90,118,116,29,35,36,215,59.8,95.7,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
