id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/1/value,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/6/value,qualifiers/7/type/value,qualifiers/7/type/displayName,satisfiedEventsTypes/7,satisfiedEventsTypes/8,satisfiedEventsTypes/9,satisfiedEventsTypes/10,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/8/value,goalMouthZ,goalMouthY,isGoal,isShot,qualifiers/7/value,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/9/value,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/11/type/value,qualifiers/11/type/displayName,qualifiers/12/type/value,qualifiers/12/type/displayName,qualifiers/13/type/value,qualifiers/13/type/displayName,satisfiedEventsTypes/11,satisfiedEventsTypes/12,satisfiedEventsTypes/13,satisfiedEventsTypes/14,satisfiedEventsTypes/15,relatedEventId,relatedPlayerId,qualifiers/10/value,cardType/value,cardType/displayName,qualifiers/11/value,qualifiers/12/value,qualifiers/14/type/value,qualifiers/14/type/displayName,qualifiers/14/value,blockedX,blockedY,qualifiers/13/value,qualifiers/15/type/value,qualifiers/15/type/displayName,qualifiers/15/value,qualifiers/16/type/value,qualifiers/16/type/displayName
2242589399,2,0,0,26,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242589401,2,0,0,395,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242589417,3,0,0,26,50,50,0,1,FirstHalf,1,Pass,1,Successful,true,243510,56,Zone,Back,178,StandingSave,213,Angle,3.4,212,Length,17.5,141,PassEndY,43.7,140,PassEndX,33.8,90,116,29,34,37,215,217,33.8,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242589439,4,0,3,26,34.7,44.2,0,1,FirstHalf,1,Pass,1,Successful,true,401782,140,PassEndX,61.1,56,Zone,213,Angle,0.9,178,StandingSave,,141,PassEndY,96.5,155,Chipped,,90,118,116,123,126,35,36,61.1,96.5,Left,212,Length,45.1,1,Longball,215,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242589451,5,0,5,26,60,95.9,0,1,FirstHalf,1,Pass,1,Successful,true,235755,212,Length,5.7,213,Angle,56,Zone,Left,141,PassEndY,87.8,140,PassEndX,58.5,,,,90,118,116,29,34,37,215,58.5,87.8,4.4,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242589455,6,0,6,26,58.4,87.5,0,1,FirstHalf,61,BallTouch,0,Unsuccessful,true,262838,178,StandingSave,,56,Zone,,,,,,,,,,,,,90,68,,,,,,,,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242589463,3,0,7,395,41.5,18.5,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,404109,212,Length,19.3,56,Zone,1,Longball,,140,PassEndX,59.9,178,StandingSave,,213,Angle,6.2,90,119,127,35,37,215,217,59.9,17,Right,141,PassEndY,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242589491,4,0,8,395,57.8,21.8,0,1,FirstHalf,4,Foul,1,Successful,true,333224,13,Foul,,233,OppositeRelatedEvent,286,Offensive,,56,Zone,Center,,,,,,,90,62,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242589465,7,0,8,26,42.2,78.2,0,1,FirstHalf,4,Foul,0,Unsuccessful,false,115916,285,Defensive,,178,StandingSave,13,Foul,,56,Zone,Back,233,OppositeRelatedEvent,4,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2242589591,5,0,28,395,58,23.6,0,1,FirstHalf,1,Pass,1,Successful,true,323490,213,Angle,0.2,56,Zone,178,StandingSave,,141,PassEndY,32.1,140,PassEndX,86.1,212,Length,30.1,90,118,116,29,123,131,204,86.1,32.1,Center,5,FreekickTaken,,155,Chipped,35,36,216,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
