id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/1/value,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,qualifiers/6/type/value,qualifiers/6/type/displayName,satisfiedEventsTypes/7,satisfiedEventsTypes/8,satisfiedEventsTypes/9,qualifiers/6/value,qualifiers/7/type/value,qualifiers/7/type/displayName,qualifiers/7/value,goalMouthZ,goalMouthY,isShot,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/9/type/value,qualifiers/9/type/displayName,satisfiedEventsTypes/10,satisfiedEventsTypes/11,satisfiedEventsTypes/12,satisfiedEventsTypes/13,satisfiedEventsTypes/14,relatedEventId,relatedPlayerId,qualifiers/8/value,isGoal,blockedX,blockedY,cardType/value,cardType/displayName,qualifiers/9/value,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/10/value,qualifiers/11/type/value,qualifiers/11/type/displayName,qualifiers/11/value,satisfiedEventsTypes/15,qualifiers/12/type/value,qualifiers/12/type/displayName,qualifiers/13/type/value,qualifiers/13/type/displayName,qualifiers/12/value
1329767404,2,0,0,297,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037634122,2,0,0,26,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2053517053,3,0,1,297,50.1,50.1,0,1,FirstHalf,1,Pass,1,Successful,true,94891,141,PassEndY,56.1,140,PassEndX,30.6,212,Length,20.9,213,Angle,2.9,56,Zone,Back,90,116,29,34,36,214,217,30.6,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361862894,4,0,3,297,30.1,56.4,0,1,FirstHalf,1,Pass,1,Successful,true,102173,213,Angle,0.5,56,Zone,Left,155,Chipped,,141,PassEndY,92.7,212,Length,49.0,90,118,116,123,126,204,35,70.4,92.7,140,PassEndX,70.4,1,Longball,36,216,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824379159,5,0,6,297,79.3,83.5,0,1,FirstHalf,3,TakeOn,0,Unsuccessful,true,303547,286,Offensive,,211,OverRun,,56,Zone,Left,,,,,,,90,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922553357,520,0,7,26,5.7,19.2,0,1,FirstHalf,12,Clearance,1,Successful,true,29106,212,Length,3.1,141,PassEndY,15.5,213,Angle,5.3,56,Zone,Back,140,PassEndX,7.4,90,93,94,214,,,,7.4,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649886619,395,0,8,297,94.1,83,0,1,FirstHalf,61,BallTouch,1,Successful,true,303547,56,Zone,Left,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772735958,3,0,10,26,7.4,20.4,0,1,FirstHalf,49,BallRecovery,1,Successful,false,318871,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243981456,4,0,11,26,1.3,24,0,1,FirstHalf,12,Clearance,1,Successful,true,318871,212,Length,21.6,213,Angle,5.3,140,PassEndX,13.1,56,Zone,Back,141,PassEndY,0.0,90,93,94,214,,,,13.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430988731,7,0,25,297,84.4,100,0,1,FirstHalf,1,Pass,1,Successful,true,125793,56,Zone,Left,107,ThrowIn,,212,Length,6.7,213,Angle,4.7,140,PassEndX,84.0,90,211,34,37,216,,,84,91.5,141,PassEndY,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
