id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/1/value,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/6/value,satisfiedEventsTypes/7,satisfiedEventsTypes/8,goalMouthZ,goalMouthY,isShot,qualifiers/7/type/value,qualifiers/7/type/displayName,qualifiers/7/value,satisfiedEventsTypes/9,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/8/value,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/9/value,blockedX,blockedY,satisfiedEventsTypes/10,satisfiedEventsTypes/11,relatedEventId,relatedPlayerId,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/10/value,qualifiers/11/type/value,qualifiers/11/type/displayName,satisfiedEventsTypes/12,satisfiedEventsTypes/13,satisfiedEventsTypes/14,qualifiers/11/value,qualifiers/12/type/value,qualifiers/12/type/displayName,qualifiers/13/type/value,qualifiers/13/type/displayName,isGoal,qualifiers/12/value,cardType/value,cardType/displayName,satisfiedEventsTypes/15,satisfiedEventsTypes/16,satisfiedEventsTypes/17,satisfiedEventsTypes/18
1182703741,2,0,0,26,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494105638,2,0,0,297,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575372512,3,0,1,297,50.1,50.3,0,1,FirstHalf,1,Pass,1,Successful,true,94891,141,PassEndY,56.0,140,PassEndX,35.4,213,Angle,2.9,56,Zone,Back,212,Length,15.9,90,116,29,34,36,215,217,35.4,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159330730,16,0,5,297,37.5,63.5,0,1,FirstHalf,1,Pass,1,Successful,true,103476,141,PassEndY,38.0,140,PassEndX,35.6,212,Length,17.5,213,Angle,4.6,56,Zone,Back,90,116,29,34,37,215,217,35.6,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201733207,5,0,7,297,40.6,31.3,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,102173,155,Chipped,,213,Angle,6.1,140,PassEndX,85.2,141,PassEndY,21.8,1,Longball,,90,119,123,127,35,37,216,85.2,21.8,212,Length,47.3,56,Zone,Center,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603188978,3,0,9,26,13.8,73.9,0,1,FirstHalf,1,Pass,1,Successful,true,95408,141,PassEndY,91.7,212,Length,13.9,140,PassEndX,20.3,213,Angle,1.1,56,Zone,Back,90,116,29,138,35,36,214,20.3,91.7,3,HeadPass,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2122753489,4,0,10,26,20.3,91.8,0,1,FirstHalf,49,BallRecovery,1,Successful,false,115726,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061121061,5,0,11,26,20.3,91.8,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,115726,56,Zone,Back,1,Longball,,140,PassEndX,35.7,213,Angle,0.1,141,PassEndY,93.5,90,117,119,127,35,36,215,35.7,93.5,212,Length,16.2,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938952810,6,0,12,297,58.7,15,0,1,FirstHalf,1,Pass,1,Successful,true,337879,140,PassEndX,57.2,213,Angle,1.8,56,Zone,Center,212,Length,6.3,141,PassEndY,23.9,90,118,116,29,34,36,215,57.2,23.9,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544316466,7,0,14,297,57.2,23.9,0,1,FirstHalf,49,BallRecovery,1,Successful,false,94891,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
