id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/1/value,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/6/value,satisfiedEventsTypes/7,satisfiedEventsTypes/8,satisfiedEventsTypes/9,qualifiers/7/type/value,qualifiers/7/type/displayName,satisfiedEventsTypes/10,satisfiedEventsTypes/11,relatedEventId,relatedPlayerId,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/8/value,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/11/type/value,qualifiers/11/type/displayName,qualifiers/11/value,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,qualifiers/7/value,qualifiers/9/value,qualifiers/10/value,satisfiedEventsTypes/12,satisfiedEventsTypes/13,satisfiedEventsTypes/14,cardType/value,cardType/displayName,qualifiers/12/type/value,qualifiers/12/type/displayName,isGoal,qualifiers/12/value,qualifiers/13/type/value,qualifiers/13/type/displayName,qualifiers/13/value
1143955255,2,0,0,304,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110459430,2,0,0,26,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258500084,3,0,1,26,50.2,49.6,0,1,FirstHalf,1,Pass,1,Successful,true,4511,56,Zone,Back,212,Length,17.5,141,PassEndY,46.0,213,Angle,3.3,140,PassEndX,33.7,90,116,29,34,37,215,217,33.7,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1451447084,4,0,3,26,34.8,46.6,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,136451,212,Length,46.8,1,Longball,,155,Chipped,,56,Zone,Center,213,Angle,0.5,90,119,123,127,35,36,216,74.8,77,140,PassEndX,74.8,141,PassEndY,77.0,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257209657,5,0,6,26,74.8,77,0,1,FirstHalf,44,Aerial,0,Unsuccessful,false,23736,233,OppositeRelatedEvent,3,286,Offensive,,56,Zone,Center,,,,,,,197,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173798305,3,0,6,304,27.7,21.5,0,1,FirstHalf,44,Aerial,1,Successful,false,116609,285,Defensive,,233,OppositeRelatedEvent,5,56,Zone,Back,,,,,,,196,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096222381,4,0,7,304,29.6,19.7,0,1,FirstHalf,12,Clearance,1,Successful,true,116609,140,PassEndX,33.7,212,Length,9.4,213,Angle,5.2,15,Head,,141,PassEndY,7.4,90,93,94,56,215,,,33.7,7.4,56,Zone,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881342529,6,0,9,26,70.1,92.7,0,1,FirstHalf,1,Pass,1,Successful,true,115726,56,Zone,Left,155,Chipped,,141,PassEndY,82.7,212,Length,14.2,140,PassEndX,82.0,90,118,116,29,123,204,35,82,82.7,213,Angle,5.8,,,,37,216,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770449058,7,0,12,26,80.4,82.9,0,1,FirstHalf,61,BallTouch,0,Unsuccessful,true,23736,56,Zone,Left,,,,,,,,,,,,,90,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621713835,5,0,13,304,23.2,12.9,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,104376,56,Zone,Back,213,Angle,0.7,140,PassEndX,43.4,141,PassEndY,36.9,1,Longball,,90,117,119,127,35,36,215,43.4,36.9,212,Length,26.8,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480408983,8,0,16,26,54.4,53.6,0,1,FirstHalf,1,Pass,1,Successful,true,136451,213,Angle,5.1,140,PassEndX,61.7,141,PassEndY,21.9,56,Zone,Center,212,Length,22.9,90,118,116,29,35,37,215,61.7,21.9,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826914448,9,0,20,26,61.8,21.8,0,1,FirstHalf,1,Pass,1,Successful,true,318871,212,Length,7.8,140,PassEndX,61.2,141,PassEndY,33.3,213,Angle,1.7,56,Zone,Center,90,118,116,29,34,36,215,61.2,33.3,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657119223,10,0,21,26,56.1,33.4,0,1,FirstHalf,1,Pass,1,Successful,true,33568,213,Angle,3.3,56,Zone,Back,141,PassEndY,31.2,140,PassEndX,44.3,212,Length,12.5,90,116,29,34,37,215,217,44.3,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717651063,11,0,23,26,45.6,32.5,0,1,FirstHalf,1,Pass,1,Successful,true,136451,213,Angle,2.0,56,Zone,Back,141,PassEndY,63.1,212,Length,22.5,140,PassEndX,37.5,90,116,29,34,36,215,217,37.5,63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234636647,12,0,28,26,36,52.2,0,1,FirstHalf,1,Pass,1,Successful,true,95408,140,PassEndX,38.9,212,Length,29.9,56,Zone,Back,213,Angle,1.5,141,PassEndY,96.0,90,116,29,35,36,215,217,38.9,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454311474,13,0,31,26,39.7,95.9,0,1,FirstHalf,1,Pass,1,Successful,true,115726,140,PassEndX,54.1,213,Angle,6.3,141,PassEndY,95.4,56,Zone,Left,212,Length,15.1,90,118,116,29,35,37,215,54.1,95.4,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1368387521,14,0,38,26,61.4,84.7,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,109915,212,Length,1.0,141,PassEndY,85.9,233,OppositeRelatedEvent,6,213,Angle,1.0,140,PassEndX,61.9,90,119,28,35,36,215,217,61.9,85.9,286,Offensive,,56,Zone,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
