id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/1/value,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/6/value,satisfiedEventsTypes/7,satisfiedEventsTypes/8,satisfiedEventsTypes/9,satisfiedEventsTypes/10,qualifiers/7/type/value,qualifiers/7/type/displayName,satisfiedEventsTypes/11,relatedEventId,relatedPlayerId,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/10/value,qualifiers/11/type/value,qualifiers/11/type/displayName,qualifiers/11/value,blockedX,blockedY,isShot,qualifiers/7/value,qualifiers/8/value,goalMouthZ,goalMouthY,qualifiers/9/value,isGoal,cardType/value,cardType/displayName,satisfiedEventsTypes/12,qualifiers/12/type/value,qualifiers/12/type/displayName,qualifiers/12/value,qualifiers/13/type/value,qualifiers/13/type/displayName,qualifiers/13/value,satisfiedEventsTypes/13,satisfiedEventsTypes/14
1561341579,2,0,0,304,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2131997339,2,0,0,26,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972755127,3,0,1,304,50,50,0,1,FirstHalf,1,Pass,1,Successful,true,24328,140,PassEndX,37.3,212,Length,13.4,141,PassEndY,48.5,213,Angle,3.2,56,Zone,Back,90,116,29,34,37,215,217,37.3,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699436555,4,0,2,304,37.3,48.5,0,1,FirstHalf,1,Pass,1,Successful,true,91961,56,Zone,Back,140,PassEndX,39.3,212,Length,5.5,213,Angle,1.2,141,PassEndY,56.0,90,116,29,35,36,215,217,39.3,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568060703,5,0,3,304,39.3,56,0,1,FirstHalf,1,Pass,1,Successful,true,50835,212,Length,9.9,213,Angle,4.6,140,PassEndX,38.3,141,PassEndY,41.5,56,Zone,Back,90,116,29,34,37,215,217,38.3,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536673511,6,0,8,304,46.1,39.1,0,1,FirstHalf,1,Pass,1,Successful,true,91961,140,PassEndX,74.0,155,Chipped,,4,Throughball,,56,Zone,Center,213,Angle,6.1,90,118,116,29,123,128,204,74,32.1,141,PassEndY,32.1,212,Length,29.7,35,37,216,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110873213,7,0,10,304,74,32.1,0,1,FirstHalf,61,BallTouch,0,Unsuccessful,true,24328,56,Zone,Center,,,,,,,,,,,,,90,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793576250,3,0,11,26,12.5,60.8,0,1,FirstHalf,52,KeeperPickup,1,Successful,false,114147,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086219104,4,0,15,26,14.4,68.7,0,1,FirstHalf,1,Pass,1,Successful,true,114147,140,PassEndX,22.1,123,KeeperThrow,,213,Angle,0,141,PassEndY,68.7,56,Zone,Back,90,35,214,217,,,,22.1,68.7,212,Length,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339242223,5,0,16,26,21.9,69.3,0,1,FirstHalf,1,Pass,1,Successful,true,68659,56,Zone,Back,213,Angle,1.6,141,PassEndY,93.9,212,Length,16.8,140,PassEndX,20.7,90,116,29,34,36,214,217,20.7,93.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
