id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/1/value,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,satisfiedEventsTypes/7,satisfiedEventsTypes/8,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/6/value,satisfiedEventsTypes/9,satisfiedEventsTypes/10,satisfiedEventsTypes/11,relatedEventId,relatedPlayerId,qualifiers/7/type/value,qualifiers/7/type/displayName,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/8/value,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/9/value,blockedX,blockedY,isShot,satisfiedEventsTypes/12,qualifiers/7/value,qualifiers/10/type/value,qualifiers/10/type/displayName,goalMouthZ,goalMouthY,qualifiers/10/value,qualifiers/11/type/value,qualifiers/11/type/displayName,qualifiers/12/type/value,qualifiers/12/type/displayName,satisfiedEventsTypes/13,satisfiedEventsTypes/14,satisfiedEventsTypes/15,qualifiers/11/value,qualifiers/13/type/value,qualifiers/13/type/displayName,qualifiers/13/value,isGoal,cardType/value,cardType/displayName
1082250221,2,0,0,52,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106478088,2,0,0,26,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266967368,3,0,1,26,50.1,49,0,1,FirstHalf,1,Pass,1,Successful,true,4511,212,Length,22.4,213,Angle,3.4,56,Zone,Back,140,PassEndX,29.3,141,PassEndY,41.6,90,116,29,34,37,214,217,29.3,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706617890,4,0,3,26,29.1,40.9,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,29106,213,Angle,0.5,140,PassEndX,75.7,1,Longball,,212,Length,54.7,141,PassEndY,76.7,90,119,127,35,36,216,217,75.7,76.7,56,Zone,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792286650,3,0,7,52,23.8,22.7,0,1,FirstHalf,49,BallRecovery,1,Successful,false,93206,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194507546,4,0,9,52,24.7,20.9,0,1,FirstHalf,1,Pass,1,Successful,true,93206,56,Zone,Back,213,Angle,5.6,140,PassEndX,31.8,141,PassEndY,12.2,212,Length,9.5,90,116,29,35,37,214,217,31.8,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192558126,5,0,11,52,29.6,6.7,0,1,FirstHalf,1,Pass,1,Successful,true,20874,212,Length,9.6,140,PassEndX,20.5,141,PassEndY,6.4,213,Angle,3.2,56,Zone,Back,90,116,29,34,37,214,217,20.5,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654621631,6,0,12,52,20.5,6.4,0,1,FirstHalf,1,Pass,1,Successful,true,106883,213,Angle,0.7,212,Length,10.9,56,Zone,Back,141,PassEndY,16.2,140,PassEndX,28.7,90,116,29,35,36,214,217,28.7,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203568466,5,0,15,26,68.4,89.2,0,1,FirstHalf,45,Challenge,0,Unsuccessful,false,4511,233,OppositeRelatedEvent,7,286,Offensive,,56,Zone,Left,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251792371,7,0,15,52,31.6,10.8,0,1,FirstHalf,3,TakeOn,1,Successful,true,88526,233,OppositeRelatedEvent,5,285,Defensive,,56,Zone,Back,,,,,,,90,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294553423,8,0,16,52,32.8,8.3,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,88526,213,Angle,1.0,141,PassEndY,22.7,140,PassEndX,39.3,56,Zone,Back,212,Length,11.9,90,117,119,28,35,36,215,39.3,22.7,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882626928,6,0,17,26,59,82.6,0,1,FirstHalf,49,BallRecovery,1,Successful,false,68659,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908009800,7,0,17,26,59,82.6,0,1,FirstHalf,1,Pass,1,Successful,true,68659,141,PassEndY,84.7,212,Length,7.4,140,PassEndX,65.9,213,Angle,0.2,56,Zone,Left,90,118,116,29,35,36,215,65.9,84.7,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242577952,8,0,18,26,66.2,84.2,0,1,FirstHalf,1,Pass,1,Successful,true,109915,141,PassEndY,72.7,213,Angle,5.2,56,Zone,Center,212,Length,9.0,140,PassEndX,70.4,90,118,116,29,204,35,37,70.4,72.7,,,,216,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219998866,9,0,19,26,70.1,66.4,0,1,FirstHalf,1,Pass,1,Successful,true,96182,140,PassEndX,72.3,141,PassEndY,43.7,56,Zone,Center,213,Angle,4.9,212,Length,15.6,90,118,116,29,204,35,37,72.3,43.7,,,,216,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782207862,10,0,22,26,75.9,44.5,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,108226,212,Length,13.2,140,PassEndX,88.4,141,PassEndY,43.1,213,Angle,6.2,56,Zone,Center,90,119,28,35,37,216,217,88.4,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978173929,9,0,24,52,10.7,59.1,0,1,FirstHalf,8,Interception,1,Successful,true,93206,56,Zone,Back,14,LastMan,,,,,,,,,,,90,100,101,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810300571,10,0,25,52,14.9,72.3,0,1,FirstHalf,49,BallRecovery,1,Successful,false,9909,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946075084,11,0,25,52,15.3,73.5,0,1,FirstHalf,1,Pass,1,Successful,true,9909,56,Zone,Back,1,Longball,,213,Angle,0.5,140,PassEndX,43.9,155,Chipped,,90,116,123,126,35,36,215,43.9,97.1,212,Length,34.0,217,,141,PassEndY,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597212992,11,0,30,26,54.6,3.8,0,1,FirstHalf,4,Foul,0,Unsuccessful,false,29106,56,Zone,Right,13,Foul,,285,Defensive,,233,OppositeRelatedEvent,12,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254040537,12,0,30,52,45.4,96.2,0,1,FirstHalf,4,Foul,1,Successful,true,5583,233,OppositeRelatedEvent,11,286,Offensive,,13,Foul,,56,Zone,Back,,,,90,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
