id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/1/value,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,satisfiedEventsTypes/7,satisfiedEventsTypes/8,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/6/value,qualifiers/7/type/value,qualifiers/7/type/displayName,satisfiedEventsTypes/9,satisfiedEventsTypes/10,satisfiedEventsTypes/11,relatedEventId,relatedPlayerId,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/9/value,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/10/value,qualifiers/11/type/value,qualifiers/11/type/displayName,qualifiers/11/value,qualifiers/12/type/value,qualifiers/12/type/displayName,qualifiers/12/value,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,qualifiers/7/value,satisfiedEventsTypes/12,qualifiers/8/value,cardType/value,cardType/displayName,satisfiedEventsTypes/13,isGoal,satisfiedEventsTypes/14,satisfiedEventsTypes/15,qualifiers/13/type/value,qualifiers/13/type/displayName,satisfiedEventsTypes/16,satisfiedEventsTypes/17,satisfiedEventsTypes/18
1787018195,2,0,0,84,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631378187,2,0,0,26,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598663936,3,0,2,84,50,50,0,1,FirstHalf,1,Pass,1,Successful,true,35954,213,Angle,3.3,56,Zone,Back,140,PassEndX,36.5,212,Length,14.4,141,PassEndY,46.1,90,116,29,34,37,215,217,36.5,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734224612,4,0,6,84,38.1,46.6,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,5202,140,PassEndX,71.6,212,Length,41.7,1,Longball,,141,PassEndY,79.4,56,Zone,Left,90,119,127,35,36,216,217,71.6,79.4,213,Angle,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281542043,5,0,8,84,69.6,81.3,0,1,FirstHalf,44,Aerial,0,Unsuccessful,false,24845,286,Offensive,,56,Zone,Left,233,OppositeRelatedEvent,3,,,,,,,197,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346108069,3,0,8,26,30.4,18.7,0,1,FirstHalf,44,Aerial,1,Successful,false,29106,233,OppositeRelatedEvent,5,56,Zone,Back,285,Defensive,,,,,,,,196,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932825425,4,0,9,26,32,16.8,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,29106,3,HeadPass,,56,Zone,Back,141,PassEndY,30.3,140,PassEndX,48.2,212,Length,19.3,90,117,119,28,138,35,36,48.2,30.3,213,Angle,0.5,215,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2091120598,6,0,11,84,52.2,72.7,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,84603,141,PassEndY,74.1,212,Length,4.9,140,PassEndX,56.8,213,Angle,0.2,56,Zone,Center,90,119,28,138,35,36,215,56.8,74.1,3,HeadPass,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604154280,7,0,13,84,56.6,72.4,0,1,FirstHalf,44,Aerial,0,Unsuccessful,false,35954,233,OppositeRelatedEvent,5,56,Zone,Center,286,Offensive,,,,,,,,197,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633166845,5,0,13,26,43.4,27.6,0,1,FirstHalf,44,Aerial,1,Successful,false,4511,56,Zone,Back,233,OppositeRelatedEvent,7,285,Defensive,,,,,,,,196,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293834807,6,0,14,26,43.2,28.5,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,4511,56,Zone,Right,140,PassEndX,53.0,141,PassEndY,19.4,212,Length,12.0,213,Angle,5.7,90,119,28,138,35,37,215,53,19.4,3,HeadPass,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204277231,8,0,15,84,45,80.5,0,1,FirstHalf,1,Pass,1,Successful,true,12267,213,Angle,4.9,56,Zone,Back,141,PassEndY,63.3,140,PassEndX,46.8,212,Length,11.8,90,116,29,35,37,215,217,46.8,63.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661893681,9,0,16,84,46.8,63.3,0,1,FirstHalf,1,Pass,1,Successful,true,5202,212,Length,11.5,141,PassEndY,72.1,213,Angle,2.6,140,PassEndX,37.4,56,Zone,Back,90,116,29,34,36,215,217,37.4,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862211296,10,0,17,84,37.3,72.1,0,1,FirstHalf,1,Pass,1,Successful,true,70149,56,Zone,Back,141,PassEndY,44.2,1,Longball,,213,Angle,3.8,212,Length,32.2,90,116,126,34,37,214,217,12.5,44.2,140,PassEndX,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450719708,11,0,22,84,14.2,43,0,1,FirstHalf,1,Pass,1,Successful,true,114147,141,PassEndY,25.9,140,PassEndX,25.3,213,Angle,5.5,56,Zone,Back,212,Length,16.5,90,116,29,35,37,214,217,25.3,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798530346,12,0,23,84,25.3,25.9,0,1,FirstHalf,1,Pass,1,Successful,true,29908,141,PassEndY,33.1,140,PassEndX,28.7,212,Length,6.1,213,Angle,0.9,56,Zone,Back,90,116,29,35,36,214,217,28.7,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101717010,13,0,25,84,28.7,33.1,0,1,FirstHalf,1,Pass,1,Successful,true,5202,56,Zone,Back,140,PassEndX,13.0,156,LayOff,,141,PassEndY,33.6,212,Length,16.5,90,116,29,34,36,214,217,13,33.6,213,Angle,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477147445,14,0,28,84,14,33.7,0,1,FirstHalf,1,Pass,1,Successful,true,114147,213,Angle,0.6,141,PassEndY,82.4,140,PassEndX,62.7,1,Longball,,56,Zone,Left,90,118,116,126,35,36,215,62.7,82.4,212,Length,60.9,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2132612008,15,0,32,84,62.7,82.4,0,1,FirstHalf,1,Pass,1,Successful,true,24845,140,PassEndX,57.6,213,Angle,2.2,141,PassEndY,94.1,56,Zone,Left,212,Length,9.6,90,118,116,29,34,36,215,57.6,94.1,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982151531,16,0,36,84,58.4,95.4,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,12267,141,PassEndY,94.4,140,PassEndX,89.8,213,Angle,6.3,1,Longball,,56,Zone,Left,90,119,127,35,37,216,217,89.8,94.4,212,Length,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810489301,7,0,39,26,6.9,4,0,1,FirstHalf,49,BallRecovery,1,Successful,false,318871,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670873398,8,0,40,26,6.1,3.5,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,318871,1,Longball,,213,Angle,6.0,212,Length,1.8,141,PassEndY,2.8,56,Zone,Back,90,117,119,127,35,37,214,7.8,2.8,233,OppositeRelatedEvent,17,217,,140,PassEndX,7.8,286,Offensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061357013,17,0,40,84,95.7,97.7,0,1,FirstHalf,74,BlockedPass,1,Successful,true,24845,56,Zone,Left,233,OppositeRelatedEvent,8,285,Defensive,,,,,,,,90,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1748820789,10,0,56,26,14.1,0,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,318871,56,Zone,Back,141,PassEndY,1.4,140,PassEndX,31.9,212,Length,18.8,213,Angle,0.1,90,211,35,36,214,,,31.9,1.4,107,ThrowIn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219870282,19,0,58,84,66.2,95.6,0,1,FirstHalf,8,Interception,1,Successful,true,35954,56,Zone,Left,,,,,,,,,,,,,90,100,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
