id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/1/value,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,satisfiedEventsTypes/7,satisfiedEventsTypes/8,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/6/value,qualifiers/7/type/value,qualifiers/7/type/displayName,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/8/value,qualifiers/7/value,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,satisfiedEventsTypes/9,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/10/type/value,qualifiers/10/type/displayName,satisfiedEventsTypes/10,satisfiedEventsTypes/11,satisfiedEventsTypes/12,satisfiedEventsTypes/13,satisfiedEventsTypes/14,relatedEventId,relatedPlayerId,qualifiers/9/value,qualifiers/11/type/value,qualifiers/11/type/displayName,qualifiers/12/type/value,qualifiers/12/type/displayName,qualifiers/13/type/value,qualifiers/13/type/displayName,qualifiers/10/value,satisfiedEventsTypes/15,isGoal,qualifiers/11/value,cardType/value,cardType/displayName,qualifiers/12/value
1115881512,2,0,0,579,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860300622,2,0,0,26,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153174196,3,0,1,579,49.9,49.9,0,1,FirstHalf,1,Pass,1,Successful,true,39427,212,Length,21.6,141,PassEndY,56.6,56,Zone,Back,140,PassEndX,29.8,213,Angle,2.9,90,116,29,34,36,214,217,29.8,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372559494,4,0,3,579,30.5,55.8,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,148934,141,PassEndY,12.3,213,Angle,5.6,140,PassEndX,65.3,1,Longball,,56,Zone,Right,90,119,127,35,37,215,217,65.3,12.3,212,Length,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381933388,5,0,6,579,62.6,12.4,0,1,FirstHalf,44,Aerial,0,Unsuccessful,false,85087,233,OppositeRelatedEvent,3,56,Zone,Right,286,Offensive,,,,,,,,197,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912147168,3,0,6,26,37.4,87.6,0,1,FirstHalf,44,Aerial,1,Successful,false,115916,56,Zone,Back,233,OppositeRelatedEvent,5,285,Defensive,,,,,,,,196,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130969380,4,0,7,26,39.7,88.7,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,115916,56,Zone,Back,141,PassEndY,100.0,140,PassEndX,38.1,3,HeadPass,,213,Angle,1.8,90,117,119,28,138,34,36,38.1,100,212,Length,9.1,215,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208198223,7,0,19,579,71.3,0,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,283324,56,Zone,Center,212,Length,36.2,107,ThrowIn,,140,PassEndX,100.0,1,Longball,,90,211,35,36,216,,,100,25.8,141,PassEndY,25.8,,,213,Angle,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2126656280,7,0,37,26,3.8,51,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,114147,213,Angle,0.2,140,PassEndX,63.3,1,Longball,,212,Length,63.2,141,PassEndY,65.1,90,119,127,35,36,215,217,63.3,65.1,74,MissHigh,,,,56,Zone,Center,124,GoalKick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180115276,8,0,41,26,63,67.2,0,1,FirstHalf,44,Aerial,0,Unsuccessful,false,109915,233,OppositeRelatedEvent,9,56,Zone,Center,286,Offensive,,,,,,,,197,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834636869,9,0,41,579,37,32.8,0,1,FirstHalf,44,Aerial,1,Successful,false,283324,233,OppositeRelatedEvent,8,285,Defensive,,56,Zone,Back,,,,,,,196,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000017211,10,0,42,579,33.9,31.2,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,283324,212,Length,1.7,140,PassEndX,33.6,213,Angle,4.5,56,Zone,Back,141,PassEndY,28.7,90,117,119,28,138,34,37,33.6,28.7,3,HeadPass,,215,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090693565,1094,0,43,26,65.1,76.1,0,1,FirstHalf,61,BallTouch,1,Successful,true,109915,56,Zone,Center,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
