id,eventId,minute,teamId,playerId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,satisfiedEventsTypes/0,isTouch,second,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/1/value,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,qualifiers/6/type/value,qualifiers/6/type/displayName,satisfiedEventsTypes/7,satisfiedEventsTypes/8,qualifiers/6/value,satisfiedEventsTypes/9,satisfiedEventsTypes/10,satisfiedEventsTypes/11,relatedEventId,relatedPlayerId,qualifiers/7/type/value,qualifiers/7/type/displayName,goalMouthZ,goalMouthY,isShot,qualifiers/7/value,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/8/value,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/11/type/value,qualifiers/11/type/displayName,satisfiedEventsTypes/12,satisfiedEventsTypes/13,satisfiedEventsTypes/14,satisfiedEventsTypes/15,satisfiedEventsTypes/16,isGoal,qualifiers/10/value,qualifiers/9/value,qualifiers/11/value,qualifiers/12/type/value,qualifiers/12/type/displayName,blockedX,blockedY,qualifiers/12/value,cardType/value,cardType/displayName
2154682721,11007,0,361,345560,76.3,19.8,0,1,FirstHalf,10000,OffsideGiven,0,Unsuccessful,60,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154671669,2,0,26,,0,0,0,1,FirstHalf,32,Start,1,Successful,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154671663,2,0,361,,0,0,0,1,FirstHalf,32,Start,1,Successful,,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154671673,3,0,361,345560,50,50,0,1,FirstHalf,1,Pass,1,Successful,90,true,1,213,Angle,2.2,56,Zone,Back,141,PassEndY,53.4,212,Length,2.9,140,PassEndX,48.3,116,29,34,36,215,217,48.3,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154671679,4,0,361,262854,48.3,53.4,0,1,FirstHalf,1,Pass,1,Successful,90,true,2,140,PassEndX,32.0,56,Zone,Back,212,Length,18.8,141,PassEndY,64.8,213,Angle,2.7,116,29,34,36,214,217,32,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154671693,5,0,361,301024,32,64.6,0,1,FirstHalf,1,Pass,1,Successful,90,true,4,213,Angle,4.3,141,PassEndY,45.4,212,Length,14.4,56,Zone,Back,140,PassEndX,26.2,116,29,34,37,214,217,26.2,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154671705,6,0,361,141374,26.1,43,0,1,FirstHalf,1,Pass,1,Successful,90,true,6,140,PassEndX,37.2,213,Angle,5.1,56,Zone,Back,212,Length,28.8,141,PassEndY,4.3,116,29,35,37,215,217,37.2,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154671731,4,0,26,95408,26.5,84.1,0,1,FirstHalf,55,OffsideProvoked,1,Successful,61,false,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154671721,7,0,361,302812,41.1,4.9,0,1,FirstHalf,2,OffsidePass,1,Successful,90,true,9,7,PlayerCaughtOffside,345560,56,Zone,Right,1,Longball,,141,PassEndY,19.8,140,PassEndX,76.3,216,,,,,,76.3,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2154671751,5,0,26,115726,29.5,93.5,0,1,FirstHalf,1,Pass,1,Successful,90,true,18,141,PassEndY,75.1,140,PassEndX,22.5,213,Angle,4.2,56,Zone,Back,5,FreekickTaken,,116,29,131,34,37,214,22.5,75.1,212,Length,14.5,241,IndirectFreekickTaken,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
