id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/1/value,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,qualifiers/6/type/value,qualifiers/6/type/displayName,satisfiedEventsTypes/7,qualifiers/6/value,qualifiers/7/type/value,qualifiers/7/type/displayName,qualifiers/7/value,satisfiedEventsTypes/8,satisfiedEventsTypes/9,goalMouthZ,goalMouthY,isShot,satisfiedEventsTypes/10,satisfiedEventsTypes/11,relatedEventId,relatedPlayerId,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/8/value,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/10/value,qualifiers/11/type/value,qualifiers/11/type/displayName,qualifiers/11/value,blockedX,blockedY,satisfiedEventsTypes/12,satisfiedEventsTypes/13,qualifiers/12/type/value,qualifiers/12/type/displayName,qualifiers/12/value,qualifiers/13/type/value,qualifiers/13/type/displayName,qualifiers/9/value,qualifiers/13/value,cardType/value,cardType/displayName,satisfiedEventsTypes/14,satisfiedEventsTypes/15,satisfiedEventsTypes/16,isGoal
2171065447,2,0,0,361,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065445,2,0,0,26,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065455,3,0,1,26,49.8,50,0,1,FirstHalf,1,Pass,1,Successful,true,68659,141,PassEndY,47.2,212,Length,17.4,213,Angle,3.3,140,PassEndX,33.3,56,Zone,Back,90,116,29,34,37,214,217,33.3,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065469,4,0,3,26,33.4,46.7,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,29106,213,Angle,0.7,141,PassEndY,94.2,155,Chipped,,56,Zone,Left,140,PassEndX,70.5,90,119,123,127,35,36,216,70.5,94.2,212,Length,50.6,1,Longball,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065483,3,0,6,361,27.5,4.6,0,1,FirstHalf,1,Pass,1,Successful,true,302812,56,Zone,Back,141,PassEndY,14.6,3,HeadPass,,140,PassEndX,31.9,212,Length,8.2,90,116,29,138,35,36,214,31.9,14.6,213,Angle,1.0,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065485,4,0,8,361,31.9,14.6,0,1,FirstHalf,49,BallRecovery,1,Successful,false,262838,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065497,5,0,9,361,31.9,17.3,0,1,FirstHalf,1,Pass,1,Successful,true,262838,141,PassEndY,31.2,140,PassEndX,29.8,213,Angle,1.8,212,Length,9.7,56,Zone,Back,90,116,29,34,36,214,217,29.8,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065511,6,0,10,361,29.8,31.2,0,1,FirstHalf,1,Pass,1,Successful,true,17827,213,Angle,0.0,141,PassEndY,33.0,56,Zone,Center,212,Length,30.9,140,PassEndX,59.2,90,118,116,29,35,36,215,59.2,33,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065515,7,0,14,361,69.9,34.9,0,1,FirstHalf,61,BallTouch,0,Unsuccessful,true,315227,56,Zone,Center,,,,,,,,,,,,,90,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065517,5,0,15,26,22.4,68.5,0,1,FirstHalf,49,BallRecovery,1,Successful,false,95408,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065527,6,0,16,26,22.1,69,0,1,FirstHalf,1,Pass,1,Successful,true,95408,213,Angle,4.7,141,PassEndY,43.1,212,Length,17.6,56,Zone,Back,140,PassEndX,21.6,90,116,29,34,37,214,217,21.6,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065541,7,0,17,26,21.6,43.1,0,1,FirstHalf,1,Pass,1,Successful,true,29106,141,PassEndY,5.8,213,Angle,4.9,56,Zone,Back,212,Length,25.6,140,PassEndX,25.2,90,116,29,35,37,214,217,25.2,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065543,8,0,20,26,25.2,5.8,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,318871,286,Offensive,,212,Length,1.6,213,Angle,0.1,56,Zone,Back,233,OppositeRelatedEvent,8,90,117,119,28,35,36,214,26.7,6.1,140,PassEndX,26.7,141,PassEndY,217,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065551,8,0,20,361,68.1,92.7,0,1,FirstHalf,74,BlockedPass,1,Successful,true,369875,233,OppositeRelatedEvent,8,56,Zone,Left,285,Defensive,,,,,,,,90,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065619,10,0,39,26,31.1,0,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,318871,56,Zone,Right,213,Angle,0.1,1,Longball,,140,PassEndX,55.5,107,ThrowIn,,90,211,35,36,215,,,55.5,3.1,212,Length,25.9,141,PassEndY,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065631,10,0,41,361,43.1,95.6,0,1,FirstHalf,1,Pass,1,Successful,true,301024,141,PassEndY,88.9,212,Length,5.2,3,HeadPass,,213,Angle,5.2,56,Zone,Back,90,116,29,138,35,37,215,45.4,88.9,140,PassEndX,45.4,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065633,11,0,42,361,45.4,88.6,0,1,FirstHalf,49,BallRecovery,1,Successful,false,17827,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065639,12,0,43,361,45.4,88.6,0,1,FirstHalf,1,Pass,1,Successful,true,17827,140,PassEndX,45.3,213,Angle,1.6,141,PassEndY,97.5,56,Zone,Back,212,Length,6.1,90,116,29,34,36,215,217,45.3,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065645,13,0,45,361,45.3,97.5,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,25032,212,Length,12.3,213,Angle,6.2,1,Longball,,141,PassEndY,96.3,56,Zone,Left,90,119,127,35,37,215,217,57,96.3,140,PassEndX,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065643,11,0,46,26,41,5.5,0,1,FirstHalf,8,Interception,1,Successful,true,318871,15,Head,,56,Zone,Back,,,,,,,,,,90,100,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065649,12,0,48,26,32.6,30.1,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,95408,213,Angle,6.3,141,PassEndY,29.5,56,Zone,Back,1,Longball,,140,PassEndX,47.3,90,117,119,127,35,37,215,47.3,29.5,212,Length,15.4,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065659,14,0,51,361,54.9,64,0,1,FirstHalf,1,Pass,1,Successful,true,17827,213,Angle,5.7,56,Zone,Center,141,PassEndY,54.9,140,PassEndX,64.1,212,Length,11.5,90,118,116,29,35,37,215,64.1,54.9,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065673,15,0,52,361,65.6,50.3,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,262838,140,PassEndX,84.2,56,Zone,Center,4,Throughball,,141,PassEndY,49.7,213,Angle,6.3,90,119,28,129,35,37,216,84.2,49.7,212,Length,19.5,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065681,13,0,56,26,15.4,53.3,0,1,FirstHalf,8,Interception,1,Successful,true,95408,14,LastMan,,56,Zone,Back,,,,,,,,,,90,100,101,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065749,17,1,8,361,79.9,0,1,1,FirstHalf,1,Pass,1,Successful,true,302812,141,PassEndY,15.5,107,ThrowIn,,213,Angle,0.6,56,Zone,Right,212,Length,22.1,90,211,35,36,216,,,97.6,15.5,140,PassEndX,97.6,1,Longball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065751,18,1,10,361,97.8,15.6,1,1,FirstHalf,50,Dispossessed,1,Successful,true,262838,233,OppositeRelatedEvent,15,286,Offensive,,56,Zone,Right,,,,,,,90,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065745,15,1,10,26,2.2,84.4,1,1,FirstHalf,7,Tackle,1,Successful,true,68659,56,Zone,Back,285,Defensive,,233,OppositeRelatedEvent,18,,,,,,,90,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065753,16,1,12,26,0,84.4,1,1,FirstHalf,6,CornerAwarded,0,Unsuccessful,false,68659,56,Zone,Back,73,MissLeft,,233,OppositeRelatedEvent,19,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065761,19,1,12,361,100,15.6,1,1,FirstHalf,6,CornerAwarded,1,Successful,false,262838,75,MissRight,,56,Zone,Right,233,OppositeRelatedEvent,16,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065811,20,1,37,361,99.4,0.7,1,1,FirstHalf,1,Pass,0,Unsuccessful,true,17827,213,Angle,1.7,2,Cross,,140,PassEndX,94.6,6,CornerTaken,,56,Zone,Center,90,123,125,30,32,33,34,94.6,46.4,155,Chipped,,141,PassEndY,36,46.4,212,Length,31.5,216,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065813,17,1,39,26,7.5,52.5,1,1,FirstHalf,12,Clearance,1,Successful,true,29106,213,Angle,5.0,212,Length,9.8,141,PassEndY,38.5,56,Zone,Back,15,Head,,90,93,94,56,214,,,9.7,38.5,140,PassEndX,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065815,18,1,40,26,9.7,38.8,1,1,FirstHalf,12,Clearance,1,Successful,true,318871,212,Length,17.9,141,PassEndY,55.1,213,Angle,0.7,140,PassEndX,23.1,15,Head,,90,93,94,56,214,,,23.1,55.1,56,Zone,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065863,21,1,41,26,20.9,64.8,1,1,FirstHalf,45,Challenge,0,Unsuccessful,false,243510,56,Zone,Back,233,OppositeRelatedEvent,26,285,Defensive,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065907,26,1,41,361,79.1,35.2,1,1,FirstHalf,3,TakeOn,1,Successful,true,262838,233,OppositeRelatedEvent,21,286,Offensive,,56,Zone,Center,,,,,,,90,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065823,21,1,42,361,78,35.8,1,1,FirstHalf,1,Pass,1,Successful,true,262838,140,PassEndX,77.6,213,Angle,4.7,141,PassEndY,25.3,212,Length,7.2,56,Zone,Center,90,118,116,29,204,34,37,77.6,25.3,,,,,,216,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065825,22,1,44,361,77.6,25.3,1,1,FirstHalf,1,Pass,1,Successful,true,353191,56,Zone,Right,140,PassEndX,85.6,212,Length,12.6,141,PassEndY,11.4,213,Angle,5.4,90,118,116,29,204,35,37,85.6,11.4,,,,,,216,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065829,23,1,45,361,85.6,11.4,1,1,FirstHalf,1,Pass,0,Unsuccessful,true,17827,155,Chipped,,2,Cross,,141,PassEndY,46.9,213,Angle,1.5,140,PassEndX,87.9,90,123,125,35,36,216,217,87.9,46.9,212,Length,24.3,56,Zone,,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065833,19,1,47,26,9.8,54.9,1,1,FirstHalf,12,Clearance,1,Successful,true,29106,140,PassEndX,25.7,213,Angle,0.1,212,Length,16.8,56,Zone,Back,15,Head,,90,93,94,56,214,,,25.7,57.9,141,PassEndY,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065835,24,1,48,361,73.1,47.4,1,1,FirstHalf,13,MissedShots,1,Successful,true,369875,56,Zone,Center,75,MissRight,,72,LeftFoot,,102,GoalMouthY,35.1,18,OutOfBoxCentre,,90,6,9,2,5,12,,,,25,FromCorner,,103,GoalMouthZ,,4.2,,,,,,4.2,35.1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065873,22,2,3,26,4.8,59.3,2,1,FirstHalf,1,Pass,1,Successful,true,114147,141,PassEndY,69.3,56,Zone,Back,212,Length,10.5,124,GoalKick,,213,Angle,0.7,90,116,29,35,36,214,217,12.4,69.3,140,PassEndX,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065889,23,2,5,26,12.5,68.1,2,1,FirstHalf,1,Pass,1,Successful,true,95408,140,PassEndX,24.8,212,Length,44.0,141,PassEndY,6.2,56,Zone,Back,213,Angle,5.0,90,116,126,35,37,214,217,24.8,6.2,1,Longball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065897,24,2,11,26,33.8,4.1,2,1,FirstHalf,1,Pass,1,Successful,true,318871,212,Length,17.2,140,PassEndX,24.6,213,Angle,2.2,56,Zone,Back,141,PassEndY,25.0,90,116,29,34,36,214,217,24.6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171065899,25,2,13,26,22.2,26.8,2,1,FirstHalf,1,Pass,1,Successful,true,29106,140,PassEndX,20.4,212,Length,25.2,141,PassEndY,63.7,56,Zone,Back,213,Angle,1.6,90,116,29,34,36,214,217,20.4,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
