id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/1/value,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,satisfiedEventsTypes/7,satisfiedEventsTypes/8,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/6/value,satisfiedEventsTypes/9,qualifiers/7/type/value,qualifiers/7/type/displayName,qualifiers/7/value,qualifiers/8/type/value,qualifiers/8/type/displayName,satisfiedEventsTypes/10,satisfiedEventsTypes/11,relatedEventId,relatedPlayerId,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/10/value,qualifiers/11/type/value,qualifiers/11/type/displayName,qualifiers/11/value,qualifiers/12/type/value,qualifiers/12/type/displayName,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,qualifiers/8/value,satisfiedEventsTypes/12,satisfiedEventsTypes/13,isGoal,qualifiers/9/value,satisfiedEventsTypes/14,satisfiedEventsTypes/15,cardType/value,cardType/displayName,qualifiers/12/value
1595699000,2,0,0,67,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627076438,2,0,0,26,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772646230,3,0,0,26,49.9,51.6,0,1,FirstHalf,1,Pass,1,Successful,true,33568,141,PassEndY,40.6,56,Zone,Back,213,Angle,3.5,140,PassEndX,32.0,212,Length,20.2,90,116,29,34,37,214,217,32,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2085112433,4,0,4,26,34.1,41,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,74341,140,PassEndX,79.5,212,Length,57.0,56,Zone,Left,213,Angle,0.6,1,Longball,,90,119,127,35,36,216,217,79.5,86.9,141,PassEndY,86.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2076236445,5,0,6,26,80.8,87.7,0,1,FirstHalf,44,Aerial,0,Unsuccessful,false,111212,56,Zone,Left,233,OppositeRelatedEvent,3,286,Offensive,,,,,,,,197,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129444855,3,0,6,67,19.2,12.3,0,1,FirstHalf,44,Aerial,1,Successful,false,35689,285,Defensive,,233,OppositeRelatedEvent,5,56,Zone,Back,,,,,,,196,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782723128,4,0,7,67,17.8,12,0,1,FirstHalf,12,Clearance,1,Successful,true,35689,213,Angle,5.7,141,PassEndY,2.6,56,Zone,Back,140,PassEndX,26.7,212,Length,11.3,90,93,94,56,214,,,26.7,2.6,15,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519248202,6,0,8,26,73.2,97.1,0,1,FirstHalf,1,Pass,1,Successful,true,109915,212,Length,5.3,140,PassEndX,78.2,213,Angle,0.0,56,Zone,Left,141,PassEndY,97.3,90,118,116,29,204,35,36,78.2,97.3,,,,216,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558028274,7,0,10,26,77.2,97.9,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,111212,141,PassEndY,100.0,140,PassEndX,83.1,56,Zone,Left,213,Angle,0.3,212,Length,6.6,90,119,28,35,36,216,217,83.1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933630667,6,0,23,67,16.9,0,0,1,FirstHalf,1,Pass,1,Successful,true,35689,1,Longball,,213,Angle,0.1,141,PassEndY,4.1,107,ThrowIn,,56,Zone,Back,90,211,35,36,215,,,39.6,4.1,212,Length,24.1,,,140,PassEndX,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
