id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/1/value,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,qualifiers/6/type/value,qualifiers/6/type/displayName,satisfiedEventsTypes/7,satisfiedEventsTypes/8,satisfiedEventsTypes/9,qualifiers/7/type/value,qualifiers/7/type/displayName,goalMouthZ,goalMouthY,isGoal,isShot,qualifiers/6/value,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/7/value,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/9/value,satisfiedEventsTypes/10,satisfiedEventsTypes/11,relatedEventId,relatedPlayerId,blockedX,blockedY,qualifiers/8/value,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/10/value,qualifiers/11/type/value,qualifiers/11/type/displayName,satisfiedEventsTypes/12,satisfiedEventsTypes/13,satisfiedEventsTypes/14,qualifiers/12/type/value,qualifiers/12/type/displayName,qualifiers/12/value,qualifiers/11/value
1579253338,2,0,0,30,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233332395,2,0,0,26,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461294813,3,0,1,26,50.2,50,0,1,FirstHalf,1,Pass,1,Successful,true,68659,212,Length,21.0,56,Zone,Back,213,Angle,3.3,141,PassEndY,45.4,140,PassEndX,30.4,90,116,29,34,37,214,217,30.4,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288431807,4,0,2,26,31.1,46.4,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,74341,141,PassEndY,95.7,212,Length,50.8,155,Chipped,,56,Zone,Left,213,Angle,0.7,90,119,123,127,35,36,216,67.5,95.7,140,PassEndX,67.5,1,Longball,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438023899,3,0,6,30,31.7,3.7,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,83078,3,HeadPass,,141,PassEndY,19.8,212,Length,17.1,213,Angle,0.7,56,Zone,Back,90,117,119,28,138,35,36,44.2,19.8,140,PassEndX,44.2,,,215,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826072846,5,0,7,26,59.9,89.4,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,115916,213,Angle,6.0,140,PassEndX,71.7,3,HeadPass,,212,Length,13.1,141,PassEndY,83.3,90,119,28,138,35,37,216,71.7,83.3,56,Zone,Left,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236573125,4,0,8,30,30.9,21.6,0,1,FirstHalf,49,BallRecovery,1,Successful,false,29595,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906133917,5,0,9,30,30.2,21.5,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,29595,141,PassEndY,24.4,56,Zone,Back,212,Length,7.6,213,Angle,0.3,140,PassEndX,37.2,90,117,119,28,35,36,215,37.2,24.4,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277774883,6,0,10,30,36.8,24.8,0,1,FirstHalf,44,Aerial,0,Unsuccessful,false,143990,56,Zone,Back,233,OppositeRelatedEvent,6,285,Defensive,,,,,,,,197,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022366526,6,0,10,26,63.2,75.2,0,1,FirstHalf,44,Aerial,1,Successful,false,68659,56,Zone,Center,233,OppositeRelatedEvent,6,286,Offensive,,,,,,,,196,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601471935,7,0,11,26,64.4,76.9,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,68659,141,PassEndY,75.4,212,Length,7.8,56,Zone,Center,140,PassEndX,71.8,3,HeadPass,,90,119,28,138,35,37,216,71.8,75.4,213,Angle,6.2,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555568071,7,0,12,30,28.3,24.9,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,69933,141,PassEndY,20.6,212,Length,22.6,56,Zone,Back,213,Angle,6.2,140,PassEndX,49.6,90,117,119,28,138,35,37,49.6,20.6,3,HeadPass,,,,215,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090566401,459,0,13,30,49,16.9,0,1,FirstHalf,44,Aerial,0,Unsuccessful,false,83532,285,Defensive,,233,OppositeRelatedEvent,345,56,Zone,Back,,,,,,,197,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520107070,345,0,13,26,51,83.1,0,1,FirstHalf,44,Aerial,1,Successful,false,95408,233,OppositeRelatedEvent,459,286,Offensive,,56,Zone,Left,,,,,,,196,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764326441,8,0,15,26,54.4,85.4,0,1,FirstHalf,1,Pass,1,Successful,true,95408,56,Zone,Left,140,PassEndX,60.2,213,Angle,0.1,141,PassEndY,86.6,3,HeadPass,,90,118,116,29,138,35,36,60.2,86.6,212,Length,6.1,,,215,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318905303,9,0,17,26,60.2,86.6,0,1,FirstHalf,1,Pass,1,Successful,true,33568,212,Length,9.8,141,PassEndY,72.4,56,Zone,Center,213,Angle,4.5,140,PassEndX,58.5,90,118,116,29,34,37,215,58.5,72.4,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258420680,10,0,18,26,58.5,72,0,1,FirstHalf,49,BallRecovery,1,Successful,false,68659,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492135374,11,0,19,26,58.5,72,0,1,FirstHalf,1,Pass,1,Successful,true,68659,141,PassEndY,74.1,212,Length,26.8,155,Chipped,,140,PassEndX,84.0,56,Zone,Center,90,118,116,29,123,204,35,84,74.1,213,Angle,0.1,,,36,216,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728491025,12,0,22,26,85.6,75.4,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,109915,56,Zone,Center,141,PassEndY,70.6,140,PassEndX,84.3,212,Length,3.5,213,Angle,4.3,90,119,28,34,37,216,217,84.3,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590962365,8,0,25,30,15,29.2,0,1,FirstHalf,4,Foul,0,Unsuccessful,false,29595,56,Zone,Back,285,Defensive,,233,OppositeRelatedEvent,13,9,Penalty,,,,,133,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439764853,13,0,25,26,85,70.8,0,1,FirstHalf,4,Foul,1,Successful,true,,286,Offensive,,56,Zone,Center,233,OppositeRelatedEvent,8,9,Penalty,,,,,90,135,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623734933,9,1,48,30,0,0,1,1,FirstHalf,58,PenaltyFaced,0,Unsuccessful,false,25604,179,DivingSave,,73,MissLeft,,9,Penalty,,233,OppositeRelatedEvent,14,56,Zone,Back,115,,,,,,,,,186,KeeperMissed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942872850,14,1,48,26,88.5,50,1,1,FirstHalf,16,Goal,1,Successful,true,108226,17,BoxCentre,,102,GoalMouthY,49.2,72,LeftFoot,,56,Zone,Center,78,LowCentre,,90,21,8,9,201,1,12,,,103,GoalMouthZ,18.4,214,BigChance,16,25,,9,Penalty,18.4,49.2,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,
1956190320,10,2,45,30,50.2,50.3,2,1,FirstHalf,1,Pass,1,Successful,true,83532,213,Angle,3.8,141,PassEndY,29.2,140,PassEndX,32.3,56,Zone,Back,212,Length,23.6,90,116,29,34,37,214,217,32.3,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
